period,company,sector,ticker,revenues,cogs,net_income,ebit,ebitda,chg_wc,r_and_d,assets,debt,equity,gross_margin,operating_margin,net_margin,roe,roa,fcf_net_income,current_ratio,liab_equity,debt_assets,dividends,cash_and_eq,curr_assets,curr_liab,sg_a,op_exp,net_interest_paid,pretax_income,taxes
9/30/18,"Advanced Emissions Solutions, Inc.",Industrial Products,ADES,40,27,27,-4,-3,-11,0,83,0,77,33.80%,-9.70%,66.90%,34.70%,32.40%,-134.30%,780.70%,7.20%,0.00%,-21,35,41,5,12,17,3,48,21
9/30/18,ADVANCED ENERGY INDUSTRIES INC,Computer Hardware,AEIS,671,315,138,201,210,0,58,733,0,521,53.10%,29.90%,20.50%,26.50%,18.80%,100.50%,560.90%,40.80%,0.00%,0,410,595,106,93,156,0,198,62
9/30/18,ADVANCED MICRO DEVICES INC,Semiconductors,AMD,"5,722","3,716",81,211,365,-179,"1,268","3,763","1,388",715,35.10%,3.70%,1.40%,11.30%,2.10%,35.80%,162.10%,426.30%,36.90%,0,"1,045","2,751","1,697",527,"1,795",125,108,21
9/30/18,AdvanSource Biomaterials Corp,,ASNB,3,1,0,0,0,0,0,3,2,-1,72.60%,6.20%,-6.90%,40.20%,-6.90%,-101.00%,78.50%,-680.50%,68.00%,0,0,1,1,2,2,0,0,0
9/30/18,"Adverum Biotechnologies, Inc.",Biotechnology,ADVM,2,0,-57,-60,-58,-2,44,257,0,246,100.00%,-3755.80%,-3571.30%,-23.30%,-22.30%,107.30%,2687.10%,4.50%,0.00%,0,247,249,9,,,,,
9/30/18,Aecom Technology Corp,Engineering & Construction,ACM,"19,120","18,497",181,487,760,53,0,"14,617","3,949","4,265",3.30%,2.50%,1.30%,6.00%,1.80%,306.00%,122.70%,242.80%,27.00%,0,662,"6,924","5,642",18,62,0,-57,0
9/30/18,"Aeglea BioTherapeutics, Inc.",Biotechnology,AGLE,7,0,-32,-33,-32,-2,28,80,0,73,100.00%,-490.70%,-480.90%,-43.40%,-40.00%,107.90%,1277.50%,8.50%,0.00%,0,72,79,6,136,136,273,203,-53
9/30/18,AEHR TEST SYSTEMS,Semiconductors,AEHR,27,16,-1,-1,0,1,4,30,6,18,40.30%,-2.60%,-3.60%,-5.50%,-3.30%,-50.00%,252.60%,64.90%,20.40%,0,16,28,11,11,39,-1,-32,0
9/30/18,AEP INDUSTRIES INC,,AEPI,"1,141",960,29,61,93,20,0,438,211,90,15.90%,5.40%,2.50%,32.20%,6.60%,308.00%,208.50%,388.70%,48.20%,0,20,233,112,7,12,0,-1,0
9/30/18,AEROCENTURY CORP,Consulting & Outsourcing,ACY,35,0,7,18,30,-1,0,226,0,48,100.00%,50.50%,20.40%,14.80%,3.10%,246.80%,22.40%,374.40%,0.00%,0,5,37,167,120,120,19,44,15
9/30/18,"AEROJET ROCKETDYNE HOLDINGS, INC.",Aerospace & Defense,AJRD,"1,877","1,562",-9,188,260,126,0,"2,259",616,102,16.80%,10.00%,-0.50%,-9.00%,-0.40%,-2837.00%,170.90%,2105.80%,27.30%,0,555,"1,017",595,2,17,8,3,-4
9/30/18,AEROPOSTALE INC,,ARO,"1,692","1,371",-155,-148,,,0,453,0,9,19.00%,-8.80%,-9.20%,-1748.20%,-34.10%,,139.60%,5020.70%,0.00%,,87,304,217,47,128,27,87,96
9/30/18,AeroVironment Inc,Aerospace & Defense,AVAV,244,135,32,43,47,-12,22,433,0,390,44.60%,17.70%,12.80%,8.00%,7.20%,58.20%,876.20%,10.90%,0.00%,0,222,355,41,469,469,12,-158,-3
9/30/18,AES CORP,Utilities - Regulated,AES,"10,689","8,125",-454,"2,347","3,479",-319,0,"32,573","19,686","6,376",24.00%,22.00%,-0.90%,-1.50%,-0.30%,195.90%,111.50%,410.90%,60.40%,-324,"1,829","5,438","4,876",43,66,-2,46,8
9/30/18,AETNA INC /PA/,Health Care Plans,AET,"61,410",,"1,799","3,417","4,086","-1,462",,"57,383","10,159","15,818",,5.60%,2.90%,11.20%,3.10%,72.40%,,262.80%,17.70%,-509,"5,928",,,217,217,907,"1,612","1,154"
9/30/18,"AFFILIATED MANAGERS GROUP, INC.",Asset Management,AMG,"2,305",979,690,788,809,-9,0,"8,702","1,855","5,390",57.50%,34.20%,43.80%,18.70%,11.60%,71.70%,59.90%,61.40%,21.30%,0,440,873,"1,457",,,,"2,741",962
9/30/18,"Affinion Group Holdings, Inc.",,AGHI,,,,,,-39,,767,"1,901","-1,589",,,,,,,89.30%,-148.30%,247.90%,0,40,352,394,373,538,88,"1,067",58
9/30/18,"Affinion Group, Inc.",Metals & Mining,AGI,"1,122",368,-2,140,220,-26,0,807,"1,867","-1,543",67.20%,12.50%,-0.10%,0.10%,-0.20%,-11706.20%,77.10%,-152.30%,231.50%,0,40,324,419,,,,,
9/30/18,AFLAC INC,Insurance - Life,AFL,"21,667",,"4,604","4,258","4,258",91,,"137,217","5,289","24,598",,19.70%,21.20%,18.70%,3.40%,107.20%,,457.80%,3.90%,-661,"3,491",,,534,614,157,5,7
9/30/18,AGCO CORP /DE,Farm & Construction Machinery,AGCO,"8,686","6,823",221,450,737,-104,341,"8,449","2,119","3,119",21.40%,5.20%,2.60%,7.10%,2.60%,139.90%,149.60%,170.80%,25.10%,-45,348,"4,061","2,716",,,,"4,018",-586
9/30/18,AGILENT TECHNOLOGIES INC,Medical Diagnostics & Research,A,"4,720","2,164",237,873,"1,077",-110,362,"8,784","2,115","4,617",54.10%,18.50%,5.00%,5.10%,2.70%,48.90%,331.50%,90.20%,24.10%,-181,"3,011","4,525","1,365","1,013","1,413",45,321,134
9/30/18,AGILYSYS INC,Application Software,AGYS,126,63,-13,-14,-11,-4,29,156,0,108,50.10%,-10.90%,-10.70%,-12.40%,-8.60%,148.80%,147.60%,44.10%,0.10%,0,38,61,42,"1,321","1,683",46,879,642
9/30/18,AGIOS PHARMACEUTICALS INC,Biotechnology,AGIO,43,0,-315,-321,-314,-25,293,614,0,376,100.00%,-745.80%,-731.60%,-83.80%,-51.20%,109.30%,469.00%,63.60%,0.00%,0,424,445,95,41,77,0,-11,-3
9/30/18,AGL RESOURCES INC,Utilities - Regulated,GAS,"23,829","7,970","2,349","5,734","9,258",-288,0,"112,777","49,701","27,016",66.50%,24.10%,10.20%,8.90%,2.10%,48.10%,80.90%,317.40%,44.10%,"-2,360","1,980","11,619","14,366",71,364,-6,-315,0
9/30/18,AGREE REALTY CORP,,ADC,,,,,,,,,,,,,,,,,,,,,,,,0,"10,125","1,782","2,807",389
9/30/18,AIA Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/18,AILERON THERAPEUTICS INC,Biotechnology,ALRN,0,0,-26,-26,,2,16,46,0,41,,,,-62.60%,-55.90%,,915.30%,11.80%,0.00%,0,43,44,5,,,,,
9/30/18,AIR INDUSTRIES GROUP,Aerospace & Defense,AIRI,51,47,-20,-7,-4,-1,0,63,30,18,7.80%,-13.50%,-40.80%,-113.40%,-32.70%,31.60%,122.80%,247.20%,46.80%,0,0,50,41,10,26,-1,-26,0
9/30/18,AIR LEASE CORP,Consulting & Outsourcing,AL,"1,537",0,782,925,"1,445",-49,0,"15,945","9,887","4,227",100.00%,60.20%,50.90%,18.50%,4.90%,-16.80%,70.00%,277.20%,62.00%,-34,252,272,388,0,11,3,-15,0
9/30/18,AIR PRODUCTS & CHEMICALS INC /DE/,Chemicals,APD,"8,834","6,169","1,514","1,889","2,834",-7,57,"19,206","3,871","10,810",30.20%,21.40%,17.50%,14.30%,8.10%,63.40%,239.60%,77.70%,20.20%,-864,"2,994","5,056","2,110",92,613,288,617,-165
9/30/18,Aircastle LTD,Consulting & Outsourcing,AYR,797,0,148,424,723,-2,0,"7,199","4,314","1,908",100.00%,53.30%,18.60%,7.80%,2.10%,345.00%,400.50%,277.40%,59.90%,-83,212,792,198,762,776,126,"1,965",454
9/30/18,"Airgas, Inc.",,ARG,"5,305","2,356",368,641,970,-26,0,"5,974","2,325","2,152",55.60%,12.10%,6.90%,17.10%,6.20%,76.70%,125.40%,177.60%,38.90%,-165,51,"1,416","1,129",74,372,241,146,6
9/30/18,AK STEEL HOLDING CORP,Steel,AKS,"6,081","5,253",104,317,567,-151,0,"4,475","2,110",301,13.60%,5.20%,2.70%,54.90%,3.70%,161.10%,206.90%,1388.60%,47.20%,0,38,"2,071","1,001","1,979","2,308",62,584,216
9/30/18,AKAMAI TECHNOLOGIES INC,Application Software,AKAM,"2,571",905,197,349,739,62,235,"4,687",669,"3,386",64.80%,13.60%,7.70%,5.80%,4.20%,232.30%,129.10%,38.40%,14.30%,0,812,"1,460","1,131",285,511,152,163,-2
9/30/18,"Akers Biosciences, Inc.",Medical Instruments & Equipment,AKER,2,2,-9,-8,-8,0,1,13,0,11,-0.50%,-345.30%,-373.50%,-84.50%,-72.20%,92.50%,570.90%,17.20%,0.00%,0,8,11,2,"1,050","1,317",2,279,82
9/30/18,AKORN INC,Drug Manufacturers,AKRX,772,406,-94,28,113,49,46,"1,863",816,811,47.30%,3.60%,-12.20%,-11.60%,-5.10%,-146.00%,464.00%,129.90%,43.80%,0,309,705,152,7,8,0,-9,0
9/30/18,ALAMO GROUP INC,Farm & Construction Machinery,ALG,935,694,47,90,104,-28,0,746,147,466,25.80%,9.60%,5.00%,10.00%,6.30%,45.10%,483.30%,59.90%,19.70%,-5,76,488,101,232,337,38,-161,-66
9/30/18,"Alarm.com Holdings, Inc.",Application Software,ALRM,357,118,36,41,61,-24,79,380,70,250,67.00%,11.40%,10.00%,14.30%,9.40%,61.10%,466.40%,51.90%,18.40%,0,97,174,37,151,151,4,84,37
9/30/18,"ALASKA AIR GROUP, INC.",Airlines,ALK,"7,894","5,147",960,"1,324","1,696",214,0,"10,746","2,569","3,460",34.80%,16.80%,12.20%,27.80%,8.90%,71.40%,80.10%,210.60%,23.90%,-148,"1,621","2,152","2,686",100,199,3,39,4
9/30/18,ALASKA COMMUNICATIONS SYSTEMS GROUP INC,Communication Services,ALSK,227,105,-6,19,56,-14,0,443,186,155,,,,,,-93.80%,107.80%,186.60%,42.00%,0,4,62,57,336,"1,435",59,667,-58
9/30/18,ALBEMARLE CORP,Chemicals,ALB,"3,172","2,012",135,649,851,-424,81,"7,556","1,476","3,943",36.60%,20.40%,5.50%,4.50%,2.30%,-232.60%,248.50%,91.60%,19.50%,-142,692,"2,159",869,67,103,15,-4,3
9/30/18,Alcoa Corp,Metals & Mining,AA,"11,652","8,991",217,"1,599","2,351",-526,32,"17,447","1,404","6,798",22.80%,13.70%,4.80%,8.20%,3.20%,146.70%,130.30%,156.70%,8.10%,0,"1,358","4,238","3,252",430,511,60,532,440
9/30/18,ALCOA INC.,Industrial Products,ARNC,"12,960","10,221",-74,"1,364","1,915","-1,717",109,"18,718","6,844","4,924",21.10%,10.50%,-0.60%,-1.50%,-0.40%,1273.00%,225.90%,280.10%,36.60%,-162,"2,150","6,378","2,824",280,"1,062",104,"1,159",600
9/30/18,ALERE INC.,Medical Diagnostics & Research,ALR,"2,417","1,338",-81,66,,,120,"5,791","2,975","2,012",44.60%,2.70%,-2.50%,-3.00%,-1.00%,,255.40%,187.80%,51.40%,,506,"1,435",562,715,"1,375",496,470,544
9/30/18,"Aleris International, Inc.",,ARS,,,,,,,,,0,,,,,,,,,,,,,,,893,"1,012",196,-139,-59
9/30/18,"Alexander & Baldwin, Inc.",REITs,ALEX,426,302,228,57,99,-51,0,"2,231",631,659,29.00%,13.40%,54.20%,35.00%,10.30%,117.50%,29.60%,238.50%,28.30%,-10,69,275,927,,,,,
9/30/18,ALEXANDERS INC,REITs,ALX,231,0,81,105,144,0,0,"1,632",0,344,100.00%,45.70%,34.90%,23.40%,4.90%,178.20%,30.70%,374.60%,0.00%,-87,308,396,"1,288",66,66,24,10,-218
9/30/18,Alexandria Real Estate Equities Inc,REITs,ARE,"1,128",326,145,311,727,-57,0,"12,104","4,765","6,483",71.10%,27.50%,17.20%,3.00%,1.60%,-107.00%,17.70%,86.70%,39.40%,-322,254,287,"1,627",5,125,31,81,0
9/30/18,ALEXION PHARMACEUTICALS INC,Biotechnology,ALXN,"3,551",454,443,804,"1,301",-171,878,"13,583","3,231","8,893",87.20%,22.60%,12.50%,5.00%,3.30%,150.80%,310.10%,52.70%,23.80%,0,"1,474","2,954",953,87,547,153,467,0
9/30/18,ALICO INC,Consumer Packaged Goods,ALCO,84,87,-7,-17,-3,-4,0,419,177,176,-3.60%,-20.20%,-8.10%,-3.90%,-1.60%,-294.00%,502.30%,137.40%,42.30%,-2,27,78,16,"1,090","2,199",99,364,212
9/30/18,Align Technology Inc,Medical Devices,ALGN,"1,473",356,231,354,391,76,98,"1,784",0,"1,154",,,,20.10%,13.00%,61.10%,231.70%,54.50%,0.00%,0,722,"1,158",500,14,14,9,-17,-10
9/30/18,ALJ REGIONAL HOLDINGS INC,Business Services,ALJJ,366,283,5,6,25,6,0,225,88,90,22.70%,1.70%,1.40%,5.80%,2.30%,684.60%,137.50%,150.20%,39.30%,0,5,61,45,666,763,-7,362,130
9/30/18,Alkermes PLC,Biotechnology,ALKS,903,155,-158,-148,-49,-1,413,"1,797",281,"1,203",82.90%,-16.40%,-17.50%,-13.10%,-8.80%,73.80%,277.80%,49.40%,15.70%,0,434,809,291,77,77,11,-4,-10
9/30/18,Alleghany Corp,Insurance - Property & Casualty,Y,"6,477",0,113,121,,-328,0,"25,097","1,541","8,511",100.00%,1.90%,1.90%,1.40%,0.50%,,,194.90%,6.10%,-154,"5,257","6,275","12,794",422,897,7,-143,15
9/30/18,Allegheny Technologies Inc.,Industrial Products,ATI,"3,525","3,028",-92,135,295,-98,0,"5,185","1,541","1,845",14.10%,3.80%,-2.30%,-4.30%,-1.50%,-101.80%,268.80%,181.10%,29.70%,0,142,"1,916",713,38,"6,356",84,37,-85
